Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
3.15938	12	257	12	LastDelay	0.0593761	59376.1	1	3
3.15938	12	257	12	FullDelay	0.0593761	59376.1	1	3
3.20217	12	257	57	LastDelay	0.0021721	2172.1	1	3
3.20217	12	257	57	FullDelay	0.0021721	2172.1	1	3
3.25902	18	257	76	LastDelay	0.0590151	59015.1	1	3
3.25902	18	257	76	FullDelay	0.0590151	59015.1	1	3
3.35891	12	257	4	LastDelay	0.0589071	58907.1	1	3
3.35891	12	257	4	FullDelay	0.0589071	58907.1	1	3
3.36742	18	257	21	LastDelay	0.0674191	67419.1	1	3
3.36742	18	257	21	FullDelay	0.0674191	67419.1	1	3
3.45907	12	257	10	LastDelay	0.0590691	59069.1	1	3
3.45907	12	257	10	FullDelay	0.0590691	59069.1	1	3
3.46758	18	257	55	LastDelay	0.0675811	67581.1	1	3
3.46758	18	257	55	FullDelay	0.0675811	67581.1	1	3
3.5585	18	257	46	LastDelay	0.0585031	58503.1	1	3
3.5585	18	257	46	FullDelay	0.0585031	58503.1	1	3
3.56702	12	257	80	LastDelay	0.0670151	67015.1	1	3
3.56702	12	257	80	FullDelay	0.0670151	67015.1	1	3
3.60138	12	257	9	LastDelay	0.00138305	1383.05	1	3
3.60138	12	257	9	FullDelay	0.00138305	1383.05	1	3
3.62939	31	257	59	LastDelay	0.029388	29388	1	3
3.62939	31	257	59	FullDelay	0.029388	29388	1	3
3.65955	18	257	63	LastDelay	0.0595501	59550.1	1	3
3.65955	18	257	63	FullDelay	0.0595501	59550.1	1	3
3.70173	12	257	10	LastDelay	0.00172906	1729.06	1	3
3.70173	12	257	10	FullDelay	0.00172906	1729.06	1	3
3.75815	31	257	1	LastDelay	0.058148	58148	1	3
3.75815	31	257	1	FullDelay	3.35815	3.35815e+06	4	3
3.76666	18	257	2	LastDelay	0.06666	66660	1	3
3.76666	18	257	2	FullDelay	0.06666	66660	1	3
3.82939	31	257	2	LastDelay	0.029388	29388	1	3
3.82939	31	257	2	FullDelay	2.92939	2.92939e+06	4	3
3.82992	18	257	1	LastDelay	0.029917	29917	1	3
3.82992	18	257	1	FullDelay	0.029917	29917	1	3
3.85809	12	257	82	LastDelay	0.058088	58088	1	3
3.85809	12	257	82	FullDelay	0.058088	58088	1	3
3.95809	12	257	54	LastDelay	0.058088	58088	1	3
3.95809	12	257	54	FullDelay	0.058088	58088	1	3
3.9666	31	257	3	LastDelay	0.0666	66600	1	3
3.9666	31	257	3	FullDelay	2.3666	2.3666e+06	2	3
3.97511	18	257	58	LastDelay	0.075112	75112	1	3
3.97511	18	257	58	FullDelay	0.075112	75112	1	3
4.05808	12	257	15	LastDelay	0.05808	58080	1	3
4.05808	12	257	15	FullDelay	0.05808	58080	1	3
4.06659	31	257	6	LastDelay	0.066592	66592	1	3
4.06659	31	257	6	FullDelay	3.86659	3.86659e+06	3	3
4.0751	18	257	73	LastDelay	0.075104	75104	1	3
4.0751	18	257	73	FullDelay	0.075104	75104	1	3
4.15808	12	257	32	LastDelay	0.05808	58080	1	3
4.15808	12	257	32	FullDelay	0.05808	58080	1	3
4.16659	31	257	7	LastDelay	0.066592	66592	1	3
4.16659	31	257	7	FullDelay	4.16659	4.16659e+06	4	3
4.1751	18	257	5	LastDelay	0.075104	75104	1	3
4.1751	18	257	5	FullDelay	0.075104	75104	1	3
4.25808	12	257	44	LastDelay	0.05808	58080	1	3
4.25808	12	257	44	FullDelay	0.05808	58080	1	3
4.26659	31	257	8	LastDelay	0.066592	66592	1	3
4.26659	31	257	8	FullDelay	3.26659	3.26659e+06	2	3
4.2751	18	257	11	LastDelay	0.075104	75104	1	3
4.2751	18	257	11	FullDelay	0.075104	75104	1	3
