Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
575.644	11	257	2	LastDelay	0.144188	144188	1	6
575.644	11	257	2	FullDelay	0.144188	144188	1	6
575.701	11	257	4	LastDelay	0.000810008	810.008	1	6
575.701	11	257	4	FullDelay	0.000810008	810.008	1	6
575.744	11	257	41	LastDelay	0.144188	144188	1	6
575.744	11	257	41	FullDelay	0.144188	144188	1	6
575.801	11	257	4	LastDelay	0.000792008	792.008	1	6
575.801	11	257	4	FullDelay	0.000792008	792.008	1	6
576.001	11	257	1	LastDelay	0.000971008	971.008	1	6
576.001	11	257	1	FullDelay	0.000971008	971.008	1	6
576.044	11	257	14	LastDelay	0.144188	144188	1	6
576.044	11	257	14	FullDelay	0.144188	144188	1	6
576.101	11	257	39	LastDelay	0.000738008	738.008	1	6
576.101	11	257	39	FullDelay	0.000738008	738.008	1	6
576.201	11	257	4	LastDelay	0.000783008	783.008	1	6
576.201	11	257	4	FullDelay	0.000783008	783.008	1	6
576.301	11	257	7	LastDelay	0.000747008	747.008	1	6
576.301	11	257	7	FullDelay	0.000747008	747.008	1	6
576.401	11	257	35	LastDelay	0.000738008	738.008	1	6
576.401	11	257	35	FullDelay	0.000738008	738.008	1	6
576.501	11	257	9	LastDelay	0.000756008	756.008	1	6
576.501	11	257	9	FullDelay	0.000756008	756.008	1	6
576.601	11	257	3	LastDelay	0.000871019	871.019	1	6
576.601	11	257	3	FullDelay	0.000871019	871.019	1	6
576.844	11	257	6	LastDelay	0.144188	144188	1	6
576.844	11	257	6	FullDelay	0.144188	144188	1	6
576.944	11	257	44	LastDelay	0.144188	144188	1	6
576.944	11	257	44	FullDelay	0.144188	144188	1	6
577.044	11	257	23	LastDelay	0.144188	144188	1	6
577.044	11	257	23	FullDelay	0.144188	144188	1	6
577.115	11	257	25	LastDelay	0.11546	115460	1	6
577.115	11	257	25	FullDelay	0.11546	115460	1	6
577.244	11	257	28	LastDelay	0.144188	144188	1	6
577.244	11	257	28	FullDelay	0.144188	144188	1	6
577.302	11	257	1	LastDelay	0.00165212	1652.12	1	6
577.302	11	257	1	FullDelay	0.00165212	1652.12	1	6
577.344	11	257	42	LastDelay	0.144188	144188	1	6
577.344	11	257	42	FullDelay	0.144188	144188	1	6
577.401	11	257	44	LastDelay	0.000783107	783.107	1	6
577.401	11	257	44	FullDelay	0.000783107	783.107	1	6
577.529	11	257	64	LastDelay	0.029276	29276	1	6
577.529	11	257	64	FullDelay	0.029276	29276	1	6
577.744	11	257	88	LastDelay	0.144188	144188	1	6
577.744	11	257	88	FullDelay	0.144188	144188	1	6
577.802	11	257	26	LastDelay	0.00173513	1735.13	1	6
577.802	11	257	26	FullDelay	0.00173513	1735.13	1	6
577.844	11	257	87	LastDelay	0.144188	144188	1	6
577.844	11	257	87	FullDelay	0.144188	144188	1	6
578.044	11	257	8	LastDelay	0.144188	144188	1	6
578.044	11	257	8	FullDelay	0.144188	144188	1	6
578.102	11	257	27	LastDelay	0.00213025	2130.25	1	6
578.102	11	257	27	FullDelay	0.00213025	2130.25	1	6
578.144	11	257	94	LastDelay	0.144188	144188	1	6
578.144	11	257	94	FullDelay	0.144188	144188	1	6
578.201	11	257	58	LastDelay	0.00119615	1196.14	1	6
578.201	11	257	58	FullDelay	0.00119615	1196.14	1	6
578.302	11	257	25	LastDelay	0.00164519	1645.19	1	6
578.302	11	257	25	FullDelay	0.00164519	1645.19	1	6
578.544	11	257	48	LastDelay	0.144188	144188	1	6
578.544	11	257	48	FullDelay	0.144188	144188	1	6
578.601	11	257	7	LastDelay	0.00121414	1214.14	1	6
578.601	11	257	7	FullDelay	0.00121414	1214.14	1	6
578.644	11	257	15	LastDelay	0.144188	144188	1	6
578.644	11	257	15	FullDelay	0.144188	144188	1	6
578.801	11	257	3	LastDelay	0.00118324	1183.24	1	6
578.801	11	257	3	FullDelay	0.00118324	1183.24	1	6
578.844	11	257	67	LastDelay	0.144188	144188	1	6
578.844	11	257	67	FullDelay	0.144188	144188	1	6
579.044	11	257	5	LastDelay	0.044188	44188	1	6
579.044	11	257	5	FullDelay	0.144188	144188	2	6
579.129	11	257	2	LastDelay	0.029276	29276	1	6
579.129	11	257	2	FullDelay	0.029276	29276	1	6
579.203	11	257	23	LastDelay	0.00301427	3014.27	1	6
579.203	11	257	23	FullDelay	0.00301427	3014.27	1	6
579.402	11	257	3	LastDelay	0.00165022	1650.22	1	6
579.402	11	257	3	FullDelay	0.00165022	1650.22	1	6
579.444	11	257	16	LastDelay	0.144188	144188	1	6
579.444	11	257	16	FullDelay	0.144188	144188	1	6
579.644	11	257	12	LastDelay	0.144188	144188	1	6
579.644	11	257	12	FullDelay	0.144188	144188	1	6
579.703	11	257	1	LastDelay	0.00309226	3092.26	1	6
579.703	11	257	1	FullDelay	0.00309226	3092.26	1	6
579.744	11	257	70	LastDelay	0.144188	144188	1	6
579.744	11	257	70	FullDelay	0.144188	144188	1	6
579.902	11	257	2	LastDelay	0.00184425	1844.25	1	6
579.902	11	257	2	FullDelay	0.00184425	1844.25	1	6
579.944	11	257	37	LastDelay	0.144188	144188	1	6
579.944	11	257	37	FullDelay	0.144188	144188	1	6
580.144	11	257	56	LastDelay	0.144188	144188	1	6
580.144	11	257	56	FullDelay	0.144188	144188	1	6
580.202	11	257	12	LastDelay	0.00187124	1871.24	1	6
580.202	11	257	12	FullDelay	0.00187124	1871.24	1	6
580.244	11	257	35	LastDelay	0.144188	144188	1	6
580.244	11	257	35	FullDelay	0.144188	144188	1	6
580.303	11	257	2	LastDelay	0.00258333	2583.33	1	6
580.303	11	257	2	FullDelay	0.00258333	2583.33	1	6
580.404	0	257	9	LastDelay	0.00373969	3739.69	1	3
580.404	0	257	9	FullDelay	5.10374	5.10374e+06	4	3
580.41	1	257	6	LastDelay	0.00952724	9527.24	1	3
580.41	1	257	6	FullDelay	13.0095	1.30095e+07	3	3
580.41	0	257	6	LastDelay	2.40953	2.40953e+06	1	3
580.41	0	257	6	FullDelay	2.40953	2.40953e+06	1	3
580.41	4	257	6	LastDelay	0.109527	109527	1	3
580.41	4	257	6	FullDelay	13.0095	1.30095e+07	5	3
580.461	1	257	1	LastDelay	1.86102	1.86102e+06	1	3
580.461	1	257	1	FullDelay	4.36102	4.36102e+06	4	3
580.461	0	257	1	LastDelay	0.261024	261024	1	3
580.461	0	257	1	FullDelay	5.86102	5.86102e+06	8	3
580.461	5	257	1	LastDelay	0.0610236	61023.6	1	3
580.461	5	257	1	FullDelay	4.16102	4.16102e+06	7	3
580.47	0	257	59	LastDelay	2.76952	2.76952e+06	1	3
580.47	0	257	59	FullDelay	2.76952	2.76952e+06	1	3
580.47	4	257	59	LastDelay	0.0695196	69519.6	1	3
580.47	4	257	59	FullDelay	2.76952	2.76952e+06	2	3
580.509	0	257	10	LastDelay	0.00870519	8705.19	1	3
580.509	0	257	10	FullDelay	7.10871	7.10871e+06	3	3
580.509	4	257	10	LastDelay	2.10871	2.10871e+06	1	3
580.509	4	257	10	FullDelay	2.10871	2.10871e+06	1	3
580.51	1	257	12	LastDelay	1.80988	1.80988e+06	1	3
580.51	1	257	12	FullDelay	4.20988	4.20988e+06	3	3
580.51	0	257	12	LastDelay	0.609882	609882	1	3
580.51	0	257	12	FullDelay	0.609882	609882	1	3
580.51	4	257	12	LastDelay	1.30988	1.30988e+06	1	3
580.51	4	257	12	FullDelay	1.30988	1.30988e+06	1	3
580.51	5	257	12	LastDelay	0.0098824	9882.4	1	3
580.51	5	257	12	FullDelay	0.0098824	9882.4	1	3
580.544	11	257	63	LastDelay	0.144188	144188	1	6
580.544	11	257	63	FullDelay	0.144188	144188	1	6
580.567	0	257	52	LastDelay	1.66655	1.66655e+06	1	3
580.567	0	257	52	FullDelay	53.8665	5.38665e+07	6	3
580.567	4	257	52	LastDelay	0.066548	66548	1	3
580.567	4	257	52	FullDelay	49.0665	4.90665e+07	5	3
580.575	1	257	2	LastDelay	0.075044	75044	1	3
580.575	1	257	2	FullDelay	14.575	1.4575e+07	5	3
580.575	0	257	2	LastDelay	1.97504	1.97504e+06	1	3
580.575	0	257	2	FullDelay	5.67504	5.67504e+06	3	3
580.575	4	257	2	LastDelay	2.77504	2.77504e+06	1	3
580.575	4	257	2	FullDelay	6.37504	6.37504e+06	4	3
580.575	5	257	2	LastDelay	1.17504	1.17504e+06	1	3
580.575	5	257	2	FullDelay	3.87504	3.87504e+06	5	3
580.606	1	257	10	LastDelay	0.00583177	5831.77	1	3
580.606	1	257	10	FullDelay	0.00583177	5831.77	1	3
580.616	4	257	1	LastDelay	0.0159214	15921.4	1	3
580.616	4	257	1	FullDelay	6.31592	6.31592e+06	2	3
580.617	0	257	23	LastDelay	3.41659	3.41659e+06	1	3
580.617	0	257	23	FullDelay	3.41659	3.41659e+06	1	3
580.617	5	257	23	LastDelay	0.0165924	16592.4	1	3
580.617	5	257	23	FullDelay	32.9166	3.29166e+07	5	3
580.644	11	257	24	LastDelay	0.144188	144188	1	6
580.644	11	257	24	FullDelay	0.144188	144188	1	6
580.716	1	257	5	LastDelay	0.0162559	16255.9	1	3
580.716	1	257	5	FullDelay	16.0163	1.60163e+07	4	3
